"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"206","perm_283_Summary.of.stats_Random.Group.Allocation.csv",15,8.03354521575897e-05
"207","perm_284_Summary.of.stats_Random.Group.Allocation.csv",20,0.00152114069588201
"208","perm_285_Summary.of.stats_Random.Group.Allocation.csv",26,0.00299781197688423
"209","perm_286_Summary.of.stats_Random.Group.Allocation.csv",36,3.37560277648632e-05
"210","perm_287_Summary.of.stats_Random.Group.Allocation.csv",24,0.000157625740569813
"211","perm_288_Summary.of.stats_Random.Group.Allocation.csv",33,4.96622801811241e-06
"212","perm_289_Summary.of.stats_Random.Group.Allocation.csv",21,0.00173756765595467
"213","perm_29_Summary.of.stats_Random.Group.Allocation.csv",24,0.00214113020619851
"214","perm_290_Summary.of.stats_Random.Group.Allocation.csv",20,0.000307952215401863
"215","perm_291_Summary.of.stats_Random.Group.Allocation.csv",22,0.000167530582408904
"216","perm_292_Summary.of.stats_Random.Group.Allocation.csv",16,0.00139221890739441
"217","perm_293_Summary.of.stats_Random.Group.Allocation.csv",24,0.000533807727549517
"218","perm_294_Summary.of.stats_Random.Group.Allocation.csv",27,3.47389446665439e-06
"219","perm_295_Summary.of.stats_Random.Group.Allocation.csv",33,3.97865407668951e-05
"220","perm_296_Summary.of.stats_Random.Group.Allocation.csv",16,0.00572218268313798
"221","perm_297_Summary.of.stats_Random.Group.Allocation.csv",21,0.000358394140490968
"222","perm_298_Summary.of.stats_Random.Group.Allocation.csv",31,4.49512966232268e-05
"223","perm_299_Summary.of.stats_Random.Group.Allocation.csv",17,0.000443563932617908
"224","perm_3_Summary.of.stats_Random.Group.Allocation.csv",10,0.00252553572769334
"225","perm_30_Summary.of.stats_Random.Group.Allocation.csv",20,0.000390177193055658
"226","perm_300_Summary.of.stats_Random.Group.Allocation.csv",30,0.000138181385258218
"227","perm_301_Summary.of.stats_Random.Group.Allocation.csv",27,0.000536714277547581
"228","perm_302_Summary.of.stats_Random.Group.Allocation.csv",21,3.43926320841637e-05
"229","perm_303_Summary.of.stats_Random.Group.Allocation.csv",23,0.000349821798334937
"230","perm_304_Summary.of.stats_Random.Group.Allocation.csv",22,0.0019659301009557
"231","perm_305_Summary.of.stats_Random.Group.Allocation.csv",14,0.000267587099939429
"232","perm_306_Summary.of.stats_Random.Group.Allocation.csv",18,0.00393571244199663
"233","perm_307_Summary.of.stats_Random.Group.Allocation.csv",18,0.000410767867493102
"234","perm_308_Summary.of.stats_Random.Group.Allocation.csv",25,3.45692822968189e-05
"235","perm_309_Summary.of.stats_Random.Group.Allocation.csv",20,0.000372986870605891
"236","perm_31_Summary.of.stats_Random.Group.Allocation.csv",26,0.000399220497683508
"237","perm_310_Summary.of.stats_Random.Group.Allocation.csv",21,2.74726143905038e-07
"238","perm_311_Summary.of.stats_Random.Group.Allocation.csv",19,0.000899032169137986
"239","perm_312_Summary.of.stats_Random.Group.Allocation.csv",29,0.000454077336372353
"240","perm_313_Summary.of.stats_Random.Group.Allocation.csv",30,0.000626071811516389
"241","perm_314_Summary.of.stats_Random.Group.Allocation.csv",15,0.000100955514257497
"242","perm_315_Summary.of.stats_Random.Group.Allocation.csv",27,0.000651145444284935
"243","perm_316_Summary.of.stats_Random.Group.Allocation.csv",4,0.0200961317483384
"244","perm_317_Summary.of.stats_Random.Group.Allocation.csv",23,0.000792388306131402
"245","perm_318_Summary.of.stats_Random.Group.Allocation.csv",15,0.00229811391942061
"246","perm_319_Summary.of.stats_Random.Group.Allocation.csv",20,7.71066784802198e-05
"247","perm_32_Summary.of.stats_Random.Group.Allocation.csv",18,0.000396325653476515
"248","perm_320_Summary.of.stats_Random.Group.Allocation.csv",18,0.000776469548032619
"249","perm_321_Summary.of.stats_Random.Group.Allocation.csv",22,3.16646698573992e-05
"250","perm_322_Summary.of.stats_Random.Group.Allocation.csv",13,0.00091342904747145
"251","perm_323_Summary.of.stats_Random.Group.Allocation.csv",20,0.000140287838416246
"252","perm_324_Summary.of.stats_Random.Group.Allocation.csv",20,0.0028643941597469
"253","perm_325_Summary.of.stats_Random.Group.Allocation.csv",11,0.000601362133539582
"254","perm_326_Summary.of.stats_Random.Group.Allocation.csv",17,0.00214011178076467
"255","perm_327_Summary.of.stats_Random.Group.Allocation.csv",35,9.8764626794775e-06
"256","perm_328_Summary.of.stats_Random.Group.Allocation.csv",36,7.11299521357724e-07
"257","perm_329_Summary.of.stats_Random.Group.Allocation.csv",18,0.000208307364318392
"258","perm_33_Summary.of.stats_Random.Group.Allocation.csv",21,0.000418260233112681
"259","perm_330_Summary.of.stats_Random.Group.Allocation.csv",19,1.04696312144189e-05
"260","perm_331_Summary.of.stats_Random.Group.Allocation.csv",39,0.000204817196317055
"261","perm_332_Summary.of.stats_Random.Group.Allocation.csv",34,4.48063099146105e-05
"262","perm_333_Summary.of.stats_Random.Group.Allocation.csv",16,2.41352628653764e-05
"263","perm_334_Summary.of.stats_Random.Group.Allocation.csv",35,7.93304217986531e-05
"264","perm_335_Summary.of.stats_Random.Group.Allocation.csv",22,0.00011554315878647
"265","perm_336_Summary.of.stats_Random.Group.Allocation.csv",19,8.56675936686659e-05
"266","perm_337_Summary.of.stats_Random.Group.Allocation.csv",18,4.8741804644832e-05
"267","perm_338_Summary.of.stats_Random.Group.Allocation.csv",22,5.16642836879523e-05
"268","perm_339_Summary.of.stats_Random.Group.Allocation.csv",25,6.30811630162674e-05
"269","perm_34_Summary.of.stats_Random.Group.Allocation.csv",28,7.9076933401e-05
"270","perm_340_Summary.of.stats_Random.Group.Allocation.csv",25,0.000170541423872073
"271","perm_341_Summary.of.stats_Random.Group.Allocation.csv",23,0.000792388306131402
"272","perm_342_Summary.of.stats_Random.Group.Allocation.csv",22,0.000360532514202891
"273","perm_343_Summary.of.stats_Random.Group.Allocation.csv",17,0.000322466232984973
"274","perm_344_Summary.of.stats_Random.Group.Allocation.csv",39,0.000680788935571885
"275","perm_345_Summary.of.stats_Random.Group.Allocation.csv",24,0.000373051334944926
"276","perm_346_Summary.of.stats_Random.Group.Allocation.csv",23,0.000742221002510692
"277","perm_347_Summary.of.stats_Random.Group.Allocation.csv",15,0.000346207897990389
"278","perm_348_Summary.of.stats_Random.Group.Allocation.csv",25,0.000128887485369179
"279","perm_349_Summary.of.stats_Random.Group.Allocation.csv",28,0.000967134648284981
"280","perm_35_Summary.of.stats_Random.Group.Allocation.csv",28,0.000315606957836013
